patient_state,avg_population,avg_density,avg_age_median,avg_age_under_10,avg_age_10_to_19,avg_age_20s,avg_age_30s,avg_age_40s,avg_age_50s,avg_age_60s,avg_age_70s,avg_age_over_80,avg_male,avg_female,avg_married,avg_divorced,avg_never_married,avg_widowed,avg_family_size,avg_family_dual_income,avg_income_household_median,avg_income_household_under_5,avg_income_household_5_to_10,avg_income_household_10_to_15,avg_income_household_15_to_20,avg_income_household_20_to_25,avg_income_household_25_to_35,avg_income_household_35_to_50,avg_income_household_50_to_75,avg_income_household_75_to_100,avg_income_household_100_to_150,avg_income_household_150_over,avg_income_household_six_figure,avg_income_individual_median,avg_home_ownership,avg_housing_units,avg_home_value,avg_rent_median,avg_rent_burden,avg_education_less_highschool,avg_education_highschool,avg_education_some_college,avg_education_bachelors,avg_education_graduate,avg_education_college_or_above,avg_education_stem_degree,avg_labor_force_participation,avg_unemployment_rate,avg_self_employed,avg_farmer,avg_race_white,avg_race_black,avg_race_asian,avg_race_native,avg_race_pacific,avg_race_other,avg_race_multiple,avg_hispanic,avg_disabled,avg_poverty,avg_limited_english,avg_commute_time,avg_health_uninsured,avg_veteran,avg_Ozone,avg_PM25,avg_N02
AK,3343.1346045,58.377648461250004,41.1176515175,12.0529545455,10.728993507,11.089740259500001,11.566293292000001,10.77951298475,15.562608225,18.785459955,7.49071428525,1.96932900425,50.27599026,49.72400974,44.4643722925,13.65996753,32.30360931,9.5760281375,3.4574553572499998,53.16079636,64745.4754275,3.10730700575,4.8243016794999996,4.078965791,6.785162367,4.495055692,8.642569484,15.00486752,15.89374185,11.81749371125,13.374164262499999,11.9677735485,25.3419378075,29170.4628575,72.446496665,1235.9708369,230964.465925,1008.277999925,25.084681415,9.50494588775,40.0708549775,28.67628247,15.678755411249998,6.066888528,21.74564394,40.237959065,61.0426190475,12.06163600275,14.10131868,0.07470310375,50.6984145025,0.9987445887499999,3.1530898265,35.122310605,0.45583874425,0.77539502175,8.78959415475,4.47452922075,17.2147077925,17.585270565000002,1.37613237925,13.946757225,18.3076623375,7.8495616885,,,
AL,10464.180883461539,300.96644675000005,40.41935105769231,10.75965458223077,13.480310328461538,14.168217086153845,12.002753734384616,11.987449910846154,13.644254570769231,12.688379826461539,7.645227620846153,3.6313416860769228,50.02103436923077,49.97896563076923,44.73393827923076,14.898815351538461,33.505198600769226,6.862859970307692,3.2288036059230767,44.03148098230769,54783.59322923077,3.9667857893076923,3.781881558076923,5.709013162692307,5.569808629461538,5.428951745538462,10.896989185615384,13.442508885384616,17.36557458153846,11.507902659538463,12.533712469846154,9.801887377384615,22.33559984846154,28276.191913076924,69.10194992307692,4077.723143923077,150024.56106923075,844.3430101307692,30.80652610076923,14.086103470000001,31.731623992307693,30.764337845384617,14.453346887846154,8.966264466538462,23.419611353076924,38.03414969076923,55.197448082307695,6.380077397615385,11.590892397461538,2.6393883984615387,65.58890440461538,27.631014537307692,1.2359598114615384,0.5148331213076923,0.033318821692307696,1.5469895739230768,3.4534594018461537,4.512673908538462,17.289978858461538,17.470499200769233,0.9370477447692308,26.130902893076925,10.61743998123077,9.035296380538462,39.153127302307695,8.577593236307694,11.292372351076922
AR,8009.005450384615,535.5447390530769,43.14614615,10.941915124538461,11.95078471153846,11.608044932230769,11.32937197353846,11.579714998692308,13.540658915384615,14.909212313846155,9.688548103230769,4.45212514676923,50.32300522461538,49.67709872538462,49.36443761923077,15.237975206153845,27.06415202461539,8.335639454307692,3.1316222227692307,42.8761228776923,51009.15714923076,3.6807956324615385,3.6535709370769234,6.513885045,6.458676755769231,6.6909915984615385,11.883992838076923,13.873421463076921,17.73121727923077,11.283057528384616,10.774248391307692,7.4592789697692305,18.233527361538464,27983.127843846156,72.52158526461538,3170.709111476923,131553.64674923077,756.9601881307692,29.50950389846154,14.826023311,37.42659376923077,27.81046201538462,12.535460335230768,7.396576555538461,19.932036890769233,40.28243791615385,52.598923020769234,5.782506098461538,12.53765349553846,5.913635440846154,75.60221271615384,15.726653165692309,1.4272609813076922,0.5659377921538462,0.25933519446153847,2.211546655230769,4.204924757153846,5.406038403769231,21.771628106153848,17.337105644615384,1.4807702036153847,25.893481616153846,8.138847,8.581513897692307,38.39779810307692,7.917979469153845,9.673739320769231
AZ,19826.605713,946.459477322353,43.27934941882353,10.567211212705883,12.160455933705881,11.930685314176472,11.663597319176471,11.365505763764705,13.476769613529413,14.53936965,9.717364103941176,4.57997523982353,51.16880907235294,48.83119092764706,49.13037960352941,13.612187962529411,31.11968114647059,6.137519089411764,3.209868111647059,45.60684346470588,71149.3806935294,3.808055172058824,2.6521157343529413,3.976230030235294,3.9519418005294122,4.650874497941176,8.619968016647059,12.108143900117646,17.771057212941177,12.779525175764705,14.598683605,15.087534747294118,29.68621835117647,34191.6942,69.42134140764705,7053.381670411764,347878.1512470588,1248.045323182353,32.71228243647059,13.02718967835294,25.27618531647059,32.90101284352941,17.844118321764707,10.949844720705883,28.793963041176468,42.23461008411765,55.5505280182353,6.654015143823529,12.455748190588237,0.9125420314117647,68.36554032176471,2.9438949805294117,5.832182066411765,7.388105295411765,0.15456323488235293,7.288649530647058,8.026470736588236,25.773907928058826,15.76849892452941,14.746090994117647,4.644680667352941,27.774381087058824,9.363431494117648,9.331834685941176,45.08554738823529,5.450830782647059,17.137532115294118
CA,25510.271489870967,2132.1129058030647,39.986669102419356,10.644652401080645,12.71798264685484,14.161721171064517,13.614173553451613,12.150871330016129,12.85622929951613,12.436985600467741,7.398117525935484,4.013139256612903,50.36756181193548,49.6325054466129,45.49256853370967,11.731003416032259,37.634567348870966,5.140949598419355,3.345433329806452,52.52284133258064,87985.01156951614,3.4178360865161292,2.1086320377580647,3.971982254,3.4580064418709675,3.497226540564516,7.4079939331935485,9.676073452903225,14.870311053532259,11.944363289290322,16.165000937596773,23.48024374732258,39.64524468564516,40415.65943290322,55.66535648290323,8718.878582611289,681429.5207822581,1702.002210932258,33.459315699516125,13.81240995417742,20.3375399166129,28.450350421129034,22.22072747769355,15.178940521161291,37.399667998709674,48.32436584370968,61.43421589758064,7.077853315693548,15.898541656225806,0.5160422070483871,57.70805344483871,6.888440113967741,12.414812646935484,1.622504447032258,0.31715637730645163,11.739592662532257,9.31164140751613,30.910920986564516,11.979885188516128,13.635124408532258,7.735609882580645,28.558191793225806,6.8023909284999995,5.777387570774193,41.652666165161286,7.454566036677419,15.406308879790323
CO,12334.80853505,475.08227712549996,43.036239486,9.7934155254,11.82163274095,11.842925325500001,12.72297458465,11.71595960905,13.751368250850001,15.52573875325,8.80818399705,4.0256912029,51.228037883,48.772090322000004,51.9087805245,13.11067393835,29.506489505,5.46988161795,3.0220896375999997,52.5738776445,75945.1797835,2.7135046528499998,2.3455334369500003,3.6263812738,3.6279997295500004,3.8747884225999996,8.5832422114,11.3318165265,17.35075293605,13.024433196850001,17.1588745822,16.36590781175,33.524782394,38458.5805925,72.74715420999999,4776.10556435,402539.23022499995,1285.88951214,31.463471765999998,7.674328828599999,24.79004708565,30.1698770535,22.878608471,14.4893157938,37.367924263999996,46.848326186,62.777357301500004,4.8647235999000005,15.4539282055,3.7744938924499998,83.1915053795,2.07480689895,1.8908303812500002,1.6134569240499999,0.10986265865,3.8263574888000003,7.29708144005,19.5720219546,13.41104738635,11.136714875900001,2.0357012315,26.0387768245,7.949986704600001,9.31048832445,45.3482196075,4.68814118145,16.32625552375
CT,71374.13158,17326.40789,36.47631579,12.98684211,11.31842105,14.97105263,17.25526316,12.63157895,11.46052632,9.789473684,6.0,3.581578947,47.66842105,52.33157895,39.92368421,10.23947368,44.64210526,5.186842105,3.412105263,53.44736842,74499.71053,4.334210526,3.305263158,5.863157895,4.460526316,4.042105263,7.589473684,9.897368421,13.54210526,10.74210526,14.88947368,21.31842105,36.20789474,39491.78947,29.93157895,25922.55263,870873.1842,1678.447368,35.21315789,16.2,24.33421053,18.44736842,24.37105263,16.65526316,41.02631579,40.85789474,64.19736842,7.184210526,18.14594595,0.002702703,44.1,28.83157895,11.20526316,0.515789474,0.068421053,9.184210526,6.089473684,18.96052632,10.19473684,18.64210526,14.17368421,42.50263158,6.392105263,1.755263158,37.72273969,7.879794792,27.49636707
DC,25266.51852,6156.214815,33.05384615,8.061538462,16.83076923,22.80769231,17.65,10.32307692,9.076923077,7.819230769,4.946153846,2.507692308,46.20384615,53.79615385,27.42692308,7.888461538,61.80384615,2.884615385,2.851363636,60.37272727,102388.7727,5.331818182,3.013636364,3.272727273,2.654545455,1.863636364,5.268181818,6.413636364,12.14090909,11.34090909,16.10454545,32.62272727,48.72727273,55627.26923,42.65909091,11483.51852,663513.4762,1778.181818,32.64090909,5.869230769,10.63846154,13.23076923,25.02307692,45.24230769,70.26538462,50.69230769,66.32307692,6.673076923,15.32727273,0.009090909,50.51153846,32.94615385,6.638461538,0.323076923,0.1,3.803846154,5.684615385,11.69615385,9.4,19.01666667,3.195454545,26.68461538,2.876923077,3.507692308,39.56564765,7.716444193,16.86895024
DE,22083.775380000003,1879.4431773333333,40.42788000833333,10.799681716499999,12.448773625000001,13.419611636666666,13.1686428335,11.485081195666666,13.566776821666666,13.863052187000001,7.2471110523333335,4.014597342,49.591094534999996,50.40988585666667,44.09800451833333,12.659858216666665,37.52655059833333,5.716394701333333,3.1327554746666664,52.546592874999995,79607.46961166667,3.1481503511666666,2.423015325666667,3.4952168515,3.279053843,3.5936934160000003,9.000456902333333,11.161093477333333,15.233826448333332,13.297317755,16.117706031666668,19.257147978333332,35.37485401166666,39927.88098833334,67.51592181666668,8557.905643666667,295977.64201666665,1260.1584055,31.165824024999996,9.5955222635,27.426967036666667,25.4586983,22.135656023333336,15.3800880765,37.515744098333336,40.91898880833333,63.60698146666667,6.1321389716666665,11.263784426666666,0.136797747,67.26813690333333,18.190081681833334,4.263350842333334,0.5541887275,0.053047818833333336,3.6041319576666666,6.066769822333334,13.345384558500001,12.550064572666665,12.441339045666666,3.056977412166667,27.18393501,6.768795110666666,6.411997742333333,41.02955228166667,7.682526225833333,20.598189928333333
FL,21315.079634,1495.1812141674359,43.35560682846154,10.270650878846153,12.161693779384617,12.14219120374359,11.818636369051282,11.926516527948719,13.929684433846152,13.249733229358975,9.503439467025641,5.001032543358974,49.76597147435897,50.234202987692306,47.955766626153846,13.85580886079487,31.40994426974359,6.7780805819743595,3.1768078842820513,47.6499094874359,70230.2995023077,3.366769830615385,2.4634847476153845,4.194737562923077,4.03620023225641,4.298380677461538,9.076023695589743,12.44157384576923,17.138961769999998,12.371529918384615,14.954644806410256,15.658095527897435,30.61274033384615,34386.94491871795,69.40088062820512,7895.959786717948,313867.46509230766,1307.7083899230768,34.1041465225641,11.623537487333333,29.09921015205128,28.921407520512822,18.431969374153848,11.922746540538462,30.35471591435897,41.86553552461538,57.303545420769225,5.560259199487179,13.22052579948718,1.0010784583333334,71.36214000410256,12.605985591025641,3.873768913846154,0.38649430882051283,0.05825067664102564,4.789746954666667,6.9204079460769234,18.79085567476923,14.221843098641026,13.385272260076922,4.72115584751282,29.296491731538463,10.404813407923077,8.072233807589743,37.837202007,7.4682682879,14.595313752250002
